# Jupiter Comets: 2020-02
full_name,q,e,i,om,w
"  242P/Spahr",3.871842541518643,.3141567990220881,32.14612407655203,181.1266540076026,250.5862504677883
"  243P/NEAT",2.456062111014702,.3597096002421862,7.634736282179496,87.72780956250945,283.9477690753499
"  244P/Scotti",3.936847298628236,.2042131382581726,2.267626444055058,354.3328820338426,90.31567868723677
"  245P/WISE",2.139438887546105,.4661520600917717,21.08781758387327,318.5272189556126,316.3993653490248
"  246P/NEAT",2.871450525415504,.2859960228620175,15.98178041544672,78.82138195764948,176.4351059550717
"  247P/LINEAR",1.484395956609986,.6256012252053437,13.68221484770744,54.12277979923005,47.338179970
"  248P/Gibbs",2.146740200550406,.6411612168497145,6.367796542417012,207.7882343574147,209.9127515514211
"  249P/LINEAR",.510433031281734,.8162297082490578,8.432716379432101,240.6372778374252,64.05007436919858
"  250P/Larson",2.212560651388276,.4073539093287017,13.29555335557225,73.74353604201914,44.92483792975233
"  251P/LINEAR",1.711534691061872,.5097838091900158,23.5097808150622,219.5544197659631,30.87913279279607
"  252P/LINEAR",.9960576061097104,.6730967236122571,10.4223132074456,190.9499032197533,343.3110219103455
"  253P/PANSTARRS",2.039439828810579,.4125868312662733,4.939280412408251,146.9381888879228,231.0057477839702
"  254P/McNaught",3.213581518959383,.3119069854691572,32.5641515653615,130.0946217215172,221.0233767504911
"  255P/Levy",1.008177639939959,.6681889016894792,18.26659348408196,279.7300366550929,179.6923293670564
"  256P/LINEAR",2.689772102245466,.417937535578262,27.64178305459467,81.44894038170409,124.2007783347942
"  257P/Catalina",2.127388671311758,.4335321147147558,20.24459905260198,207.8770663932599,117.7951538945849
"  258P/PANSTARRS",3.478069784525806,.2101546350167858,6.745154074493029,126.3067567773749,25.79541026990415
"  260P/McNaught",1.492247258318721,.594140447539657,15.76429616210481,351.8664565137191,15.59549311306117
"  261P/Larson",2.187079249450235,.3904307157947377,6.327935414391431,298.4501810275534,58.92762257185187
"  262P/McNaught-Russell",1.280276582973298,.8154028826429843,29.07941912183574,218.014288416019,171.1690205549158
